Model_masked,Category,Part_Family,count,share
AAA42,Valves & Solenoids,Piston / Liner / Ring Set,1,0.07142857142857142
AAA42,Valves & Solenoids,Solenoid Valve / Coil,1,0.07142857142857142
AAA51,Cylinder & Overheating,Delivery / Discharge Valve,9,0.5294117647058824
AAA51,Cylinder & Overheating,Fasteners / Hardware,1,0.058823529411764705
AAA51,Cylinder & Overheating,Other Parts,3,0.17647058823529413
AAA51,Cylinder & Overheating,Piston / Liner / Ring Set,4,0.23529411764705882
AAA51,Electrical & Instruments,Pressure Gauge,3,1.0
AAA51,KRMS & Sensors,KRMS / Controller,1,0.2
AAA51,KRMS & Sensors,Other Parts,1,0.2
AAA51,KRMS & Sensors,Temperature Sensor,3,0.6
AAA51,Leaks (General),Delivery / Discharge Valve,1,0.14285714285714285
AAA51,Leaks (General),Not Specified,5,0.7142857142857143
AAA51,Leaks (General),Other Parts,1,0.14285714285714285
AAA51,Major Mechanical,Major Mechanical Parts,3,1.0
AAA51,Oil Consumption & Carryover,Not Specified,1,0.14285714285714285
AAA51,Oil Consumption & Carryover,ORV (Oil Return Valve),1,0.14285714285714285
AAA51,Oil Consumption & Carryover,Piston / Liner / Ring Set,5,0.7142857142857143
AAA51,Oil Pump,Major Mechanical Parts,2,0.25
AAA51,Oil Pump,Oil Pump / Element,6,0.75
AAA51,Others,Buffer Spring,1,0.2
AAA51,Others,Other Parts,3,0.6
AAA51,Others,Temperature Sensor,1,0.2
AAA51,Shaft Seal,Shaft Seal / O-ring,4,1.0
AAA51,Sound & Vibration,Delivery / Discharge Valve,2,0.14285714285714285
AAA51,Sound & Vibration,Piston / Liner / Ring Set,12,0.8571428571428571
AAA51,Valves & Solenoids,Delivery / Discharge Valve,6,0.4
AAA51,Valves & Solenoids,Not Specified,1,0.06666666666666667
AAA51,Valves & Solenoids,Other Parts,4,0.26666666666666666
AAA51,Valves & Solenoids,Solenoid Valve / Coil,4,0.26666666666666666
AAA6,Cylinder & Overheating,Delivery / Discharge Valve,14,0.208955223880597
AAA6,Cylinder & Overheating,Not Specified,3,0.04477611940298507
AAA6,Cylinder & Overheating,Other Parts,6,0.08955223880597014
AAA6,Cylinder & Overheating,Piston / Liner / Ring Set,44,0.6567164179104478
AAA6,Electrical & Instruments,Other Parts,2,0.07692307692307693
AAA6,Electrical & Instruments,Pressure Gauge,13,0.5
AAA6,Electrical & Instruments,Pressure Switch / Cut-out,9,0.34615384615384615
AAA6,Electrical & Instruments,Solenoid Valve / Coil,1,0.038461538461538464
AAA6,Electrical & Instruments,Temperature Sensor,1,0.038461538461538464
AAA6,Hour Meter & Accessories,Hour Meter,4,1.0
AAA6,KRMS & Sensors,KRMS / Controller,2,0.3333333333333333
AAA6,KRMS & Sensors,Other Parts,3,0.5
AAA6,KRMS & Sensors,Temperature Sensor,1,0.16666666666666666
AAA6,Leaks (General),Fasteners / Hardware,1,0.1
AAA6,Leaks (General),Not Specified,2,0.2
AAA6,Leaks (General),Other Parts,7,0.7
AAA6,Loading & Unloading,Other Parts,2,0.4
AAA6,Loading & Unloading,Solenoid Valve / Coil,3,0.6
AAA6,Major Mechanical,Major Mechanical Parts,2,0.6666666666666666
AAA6,Major Mechanical,Not Specified,1,0.3333333333333333
AAA6,Oil Consumption & Carryover,Delivery / Discharge Valve,1,0.010416666666666666
AAA6,Oil Consumption & Carryover,Not Specified,4,0.041666666666666664
AAA6,Oil Consumption & Carryover,ORV (Oil Return Valve),11,0.11458333333333333
AAA6,Oil Consumption & Carryover,Oil Pump / Element,1,0.010416666666666666
AAA6,Oil Consumption & Carryover,Piston / Liner / Ring Set,71,0.7395833333333334
AAA6,Oil Consumption & Carryover,Shaft Seal / O-ring,8,0.08333333333333333
AAA6,Oil Pump,Gaskets,2,0.037037037037037035
AAA6,Oil Pump,Not Specified,4,0.07407407407407407
AAA6,Oil Pump,Oil Pump / Element,44,0.8148148148148148
AAA6,Oil Pump,Other Parts,2,0.037037037037037035
AAA6,Oil Pump,Piston / Liner / Ring Set,2,0.037037037037037035
AAA6,Others,Delivery / Discharge Valve,1,0.045454545454545456
